Connection,Pathway,Variable,Category,Type,SubType,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Distributed,Electric Engagement,Capacity (MW),Renewable,Onshore Wind,Onshore Wind,5436.147,5751.444,6228.813,6745.805,7339.436,8003.655,8727.985,9337.178,9981.704,10663.61,11385.07,12086.01,12819.15,13586.05,14388.35,15227.76,16106.06,16944.61,17775.48,18594.2,19440.23,20276.16,20661.41,20756.01,20850.6,20935.74,20935.74
Distributed,Electric Engagement,Capacity (MW),Renewable,Other Renewable,Geothermal CHP,0.0,0.0,4.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Distributed,Electric Engagement,Capacity (MW),Renewable,Other Renewable,Marine,47.058,62.058,90.558,124.558,144.558,169.558,189.558,199.558,209.558,244.558,264.558,274.558,284.558,294.558,304.558,314.558,324.558,334.558,344.558,354.558,354.558,354.558,354.558,354.558,354.558,354.558,354.558
Distributed,Electric Engagement,Capacity (MW),Renewable,Solar PV,Solar PV,11515.78,12184.67,13500.64,14815.78,16315.78,17965.78,20165.78,21565.78,23065.78,24394.6,26057.24,27099.0,27899.0,28199.0,28499.0,29399.0,30299.0,31199.0,32099.0,32999.0,33699.0,34399.0,34899.0,35699.0,36399.0,37099.0,37949.0
Distributed,Electric Engagement,Capacity (MW),Storage,Battery,Battery,3648.298,6341.031,7238.834,8378.573,9503.176,10134.86,10387.21,11479.27,11863.57,12333.26,12620.69,12804.11,12937.11,13055.4,13111.2,13166.2,13197.75,13197.75,13197.75,13197.75,13197.75,13197.75,13197.75,13197.75,13197.75,13197.75,13197.75
Distributed,Electric Engagement,Capacity (MW),Storage,Long Duration Energy Storage,Compressed Air,3.294,3.294,3.294,3.294,3.294,3.294,3.294,3.294,3.294,3.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294,123.294
Distributed,Electric Engagement,Capacity (MW),Storage,Long Duration Energy Storage,Liquid Air,5.0,5.0,5.0,5.0,5.0,105.0,205.0,205.0,305.0,405.0,505.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0,605.0
Distributed,Electric Engagement,Capacity (MW),Storage,Long Duration Energy Storage,Pumped Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Distributed,Holistic Transition,Capacity (MW),Base Load,Biomass,Biomass,763.817,763.817,763.817,763.817,678.597,678.597,628.597,628.597,628.597,541.997,541.997,465.997,465.997,420.997,420.997,375.997,375.997,330.997,330.997,285.997,285.997,240.997,240.997,240.997,240.997,240.997,240.997
Distributed,Holistic Transition,Capacity (MW),Base Load,Biomass,Biomass CHP,34.35,35.58398,36.81463,38.04331,39.17613,40.30354,41.42658,42.54622,43.66334,44.77876,45.89324,47.00747,48.12212,49.23779,50.35506,51.47446,52.5965,53.98466,55.38885,56.80967,58.24768,59.99467,61.7759,63.59228,65.76273,67.99028,70.27658
Distributed,Holistic Transition,Capacity (MW),Base Load,Waste,Waste,2875.668,2884.889,2903.635,2921.805,2939.53,2956.927,2940.69,2901.758,2832.44,2785.148,2749.11,2721.785,2663.612,2594.676,2527.727,2479.927,2437.089,2386.556,2321.37,2257.535,2186.446,2135.334,2043.605,1910.967,1741.808,1633.669,1580.251
Distributed,Holistic Transition,Capacity (MW),Base Load,Waste,Waste CHP,263.6981,335.0307,413.8242,492.5739,571.334,650.1048,722.5986,743.9981,761.3558,780.9997,804.403,831.0788,855.9913,877.7103,899.2794,914.7576,922.7039,924.8428,924.9457,927.9509,932.5746,936.7606,940.3442,943.7324,948.2468,952.6746,956.1071
Distributed,Holistic Transition,Capacity (MW),Dispatchable,Gas,CCGT,1820.32,1820.32,1767.32,1767.32,1714.32,1714.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distributed,Holistic Transition,Capacity (MW),Dispatchable,Gas,Gas CHP,1781.395,1688.628,1659.471,1625.314,1591.156,1556.999,1456.597,1337.946,1191.922,1000.275,717.3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distributed,Holistic Transition,Capacity (MW),Dispatchable,Gas,Gas Reciprocating Engines,2544.465,2693.608,2801.353,2857.38,2914.527,2972.818,2939.988,2850.128,2606.332,2030.364,727.3819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
